matrix,date,newIc
newIc,2026-05-01,2.8366324379010717
newIc,2026-05-02,2.3210048376447237
newIc,2026-05-03,2.5807223898279132
newIc,2026-05-04,3.6291458742282
newIc,2026-05-05,3.690919446201396
newIc,2026-05-06,3.8066870380224307
newIc,2026-05-07,3.607092795329625
newIc,2026-05-08,4.194684805733276
newIc,2026-05-09,4.065297999743928
newIc,2026-05-10,4.539313600879365
newIc,2026-05-11,5.282545126175885
newIc,2026-05-12,5.423343106191042
newIc,2026-05-13,5.903187856512075
newIc,2026-05-14,6.461677122587084
newIc,2026-05-15,6.298680858232265
newIc,2026-05-16,6.796010380309087
newIc,2026-05-17,7.622250547014743
newIc,2026-05-18,8.289034875892645
newIc,2026-05-19,8.771714627073182
newIc,2026-05-20,9.302392982493641
newIc,2026-05-21,9.567336791822381
newIc,2026-05-22,10.475980429300897
newIc,2026-05-23,10.931956492848816
newIc,2026-05-24,11.959954015036804
newIc,2026-05-25,12.957232974149527
newIc,2026-05-26,13.914137446782455
newIc,2026-05-27,14.527649751853488
newIc,2026-05-28,15.293651235127928
newIc,2026-05-29,16.02918544439672
newIc,2026-05-30,17.45787013656487
newIc,2026-05-31,18.487666875305436
newIc,2026-06-01,19.66965816570441
newIc,2026-06-02,21.73335063922842
newIc,2026-06-03,22.34014521576224
newIc,2026-06-04,23.951143612385415
newIc,2026-06-05,26.081750616535743
newIc,2026-06-06,27.439690655030326
newIc,2026-06-07,29.22764343551635
newIc,2026-06-08,31.18126695570314
newIc,2026-06-09,33.132351929528866
newIc,2026-06-10,35.47587512692844
newIc,2026-06-11,37.242848217982456
newIc,2026-06-12,39.556649770197545
newIc,2026-06-13,41.97159995463211
newIc,2026-06-14,44.432901256567874
newIc,2026-06-15,46.47878061101165
newIc,2026-06-16,49.554163673129
newIc,2026-06-17,52.4844155948391
newIc,2026-06-18,55.64538381839701
newIc,2026-06-19,59.21040311827454
newIc,2026-06-20,61.722246873679765
newIc,2026-06-21,65.82697348864875
newIc,2026-06-22,68.45123528668724
newIc,2026-06-23,72.79314906934819
newIc,2026-06-24,75.701212785069
newIc,2026-06-25,79.56656320242504
newIc,2026-06-26,83.60249919281108
newIc,2026-06-27,87.55399376909234
newIc,2026-06-28,91.34471729431647
newIc,2026-06-29,94.95438224569165
newIc,2026-06-30,98.98631708302767
newIc,2026-07-01,103.11633136982628
newIc,2026-07-02,107.41196282688318
newIc,2026-07-03,110.49101018124054
newIc,2026-07-04,115.28430245311637
newIc,2026-07-05,119.53233822747163
newIc,2026-07-06,122.80938119793738
newIc,2026-07-07,126.81926807658093
newIc,2026-07-08,129.8663716465431
newIc,2026-07-09,133.73045507113278
newIc,2026-07-10,136.25603290092084
newIc,2026-07-11,139.17058240048203
newIc,2026-07-12,141.1099832428842
newIc,2026-07-13,144.4225577449913
newIc,2026-07-14,146.74201976817926
newIc,2026-07-15,147.98482987984036
newIc,2026-07-16,148.89066584117205
newIc,2026-07-17,149.93651210211306
newIc,2026-07-18,151.22852679565983
newIc,2026-07-19,150.88518854340367
newIc,2026-07-20,151.1946650619742
newIc,2026-07-21,150.88723758144232
newIc,2026-07-22,151.67974728154275
newIc,2026-07-23,148.62259258331324
newIc,2026-07-24,147.6040065795856
newIc,2026-07-25,144.08148517703125
newIc,2026-07-26,142.85413118327364
newIc,2026-07-27,139.93279492072938
newIc,2026-07-28,138.17487913294283
newIc,2026-07-29,134.79393772509627
newIc,2026-07-30,130.4108797337339
newIc,2026-07-31,128.3860785142279
